"ID","Name","Age","GPA","Year","Department"
"20232001","Amal Hassan","18","3.2","First","CS"
"20232002","Bilal Mohamed","21","2.8","Third","AI"
"20232003","Carla Nader","22","3.9","Fourth","DS"
"20232004","Dina Salem","19","2.3","Second","IT"
"20232005","Ehab Reda","20","3.5","Second","IS"
"20232006","Farida Tamer","18","3.7","First","CS"
"20232007","Gamal Youssef","22","1.9","Fourth","AI"
"20232008","Hana Mostafa","19","3.6","Third","DS"
"20232009","Ibrahim Saeed","20","2.7","Second","IT"
"20232010","Jana Adel","21","3.0","Third","CS"
"20232011","Karim Fouad","19","2.5","Second","IS"
"20232012","Lara Ahmed","22","3.4","Fourth","DS"
"20232013","Mahmoud Salah","18","2.9","First","AI"
"20232014","Nadia Helal","20","3.8","Second","CS"
"20232015","Omar Essam","21","2.0","Third","IT"
"20232016","Pilar Samir","19","3.3","Second","DS"
"20232017","Qasim Hatem","22","1.7","Fourth","IS"
"20232018","Rania Khaled","20","3.1","Second","AI"
"20232019","Samir Mostafa","18","3.0","First","DS"
"20232020","Tariq Hassan","21","2.4","Third","CS"
